UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097667|I01G01259|1|CBL0000000003906872|RSUGN-I01-SP158F1I01G01259|DROP 12F|12|Autossustentável|30.86|I01G01259|EQP0000000002097667|RSUGNHUB-44|EQP0000000002631572|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097694|I01G01261|1|CBL0000000002735373|RSUGN-I01-SP158F1I01G01261|DROP 12F|12|Autossustentável|19.58|I01G01261|EQP0000000002097694|RSUGNHUB-44|EQP0000000002631572|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097750|I01G01256|1|CBL0000000002735000|RSUGN-I01-SP158F1I01G01256|DROP 12F|12|Autossustentável|47.08|RSUGNHUB-44|EQP0000000002631572|I01G01256|EQP0000000002097750|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097779|I01G01255|1|CBL0000000002735000|RSUGN-I01-SP158F1I01G01256|DROP 12F|12|Autossustentável|47.08|RSUGNHUB-44|EQP0000000002631572|I01G01256|EQP0000000002097750|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097779|I01G01255|2|CBL0000000002097809|RSUGN-I01-SP158F1I01G01255|DROP 12F|12|Autossustentável|71.16|I01G01256|EQP0000000002097750|I01G01255|EQP0000000002097779|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097813|I01G01254|1|CBL0000000002735000|RSUGN-I01-SP158F1I01G01256|DROP 12F|12|Autossustentável|47.08|RSUGNHUB-44|EQP0000000002631572|I01G01256|EQP0000000002097750|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097813|I01G01254|2|CBL0000000002097809|RSUGN-I01-SP158F1I01G01255|DROP 12F|12|Autossustentável|71.16|I01G01256|EQP0000000002097750|I01G01255|EQP0000000002097779|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097813|I01G01254|3|CBL0000000002097875|RSUGN-I01-SP158F1I01G01254|DROP 12F|12|Autossustentável|123.64|I01G01255|EQP0000000002097779|I01G01254|EQP0000000002097813|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097844|I01G01253|1|CBL0000000002735000|RSUGN-I01-SP158F1I01G01256|DROP 12F|12|Autossustentável|47.08|RSUGNHUB-44|EQP0000000002631572|I01G01256|EQP0000000002097750|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002097844|I01G01253|2|CBL0000000002097809|RSUGN-I01-SP158F1I01G01255|DROP 12F|12|Autossustentável|71.16|I01G01256|EQP0000000002097750|I01G01255|EQP0000000002097779|1
