IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000002106774|PT4191|LOC0000000001803098|Poste|-29.764075700|-57.096101300|Aerial|Autossustentável|41.840000000|41.840000000|PT4189|LOC0000000001803094|Poste|-29.764076300|-57.095668700|EQP0000000002106308|I01G02164|LOC0000000001803106|Poste|PT4195|-29.764076100|-57.094921000|EQP0000000002106471|I01G02163|LOC0000000001803096|Poste|PT4190|-29.764075200|-57.096430900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002106774|PT4190|LOC0000000001803096|Poste|-29.764075200|-57.096430900|Aerial|Autossustentável|31.880000000|31.880000000|PT4191|LOC0000000001803098|Poste|-29.764075700|-57.096101300|EQP0000000002106308|I01G02164|LOC0000000001803106|Poste|PT4195|-29.764076100|-57.094921000|EQP0000000002106471|I01G02163|LOC0000000001803096|Poste|PT4190|-29.764075200|-57.096430900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002106774|PT4189|LOC0000000001803094|Poste|-29.764076300|-57.095668700|Aerial|Autossustentável|31.420000000|31.800000000|PT4194|LOC0000000001803104|Poste|-29.764076700|-57.095343800|EQP0000000002106308|I01G02164|LOC0000000001803106|Poste|PT4195|-29.764076100|-57.094921000|EQP0000000002106471|I01G02163|LOC0000000001803096|Poste|PT4190|-29.764075200|-57.096430900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002106774|PT4194|LOC0000000001803104|Poste|-29.764076700|-57.095343800|Aerial|Autossustentável|40.890000000|40.890000000|PT4195|LOC0000000001803106|Poste|-29.764076100|-57.094921000|EQP0000000002106308|I01G02164|LOC0000000001803106|Poste|PT4195|-29.764076100|-57.094921000|EQP0000000002106471|I01G02163|LOC0000000001803096|Poste|PT4190|-29.764075200|-57.096430900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002409456|PT705|LOC0000000001796127|Poste|-29.770876800|-57.077960800|Aerial|Autossustentável|38.530000000|38.530000000|PT708|LOC0000000001796133|Poste|-29.770876600|-57.077562400|EQP0000000002406991|I01G01063|LOC0000000001796139|Poste|PT711|-29.770882000|-57.078589600|EQP0000000002407073|I01G01062|LOC0000000001796133|Poste|PT708|-29.770876600|-57.077562400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002409456|PT711|LOC0000000001796139|Poste|-29.770882000|-57.078589600|Aerial|Autossustentável|26.220000000|26.220000000|PT706|LOC0000000001796129|Poste|-29.770878800|-57.078318500|EQP0000000002406991|I01G01063|LOC0000000001796139|Poste|PT711|-29.770882000|-57.078589600|EQP0000000002407073|I01G01062|LOC0000000001796133|Poste|PT708|-29.770876600|-57.077562400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002409456|PT706|LOC0000000001796129|Poste|-29.770878800|-57.078318500|Aerial|Autossustentável|34.590000000|34.590000000|PT705|LOC0000000001796127|Poste|-29.770876800|-57.077960800|EQP0000000002406991|I01G01063|LOC0000000001796139|Poste|PT711|-29.770882000|-57.078589600|EQP0000000002407073|I01G01062|LOC0000000001796133|Poste|PT708|-29.770876600|-57.077562400|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002409167|PT868|LOC0000000001796453|Poste|-29.765195600|-57.081949200|Aerial|Autossustentável|32.400000000|32.400000000|PT863|LOC0000000001796443|Poste|-29.765193500|-57.081614200|EQP0000000002408948|I01G01148|LOC0000000001796449|Poste|PT866|-29.765197500|-57.082246800|EQP0000000002409015|I01G01147|LOC0000000001796443|Poste|PT863|-29.765193500|-57.081614200|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002409167|PT866|LOC0000000001796449|Poste|-29.765197500|-57.082246800|Aerial|Autossustentável|28.780000000|28.780000000|PT868|LOC0000000001796453|Poste|-29.765195600|-57.081949200|EQP0000000002408948|I01G01148|LOC0000000001796449|Poste|PT866|-29.765197500|-57.082246800|EQP0000000002409015|I01G01147|LOC0000000001796443|Poste|PT863|-29.765193500|-57.081614200|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002392201|PT1251|LOC0000000001797216|Poste|-29.755581200|-57.080058500|Aerial|Autossustentável|29.960000000|29.960000000|PT1252|LOC0000000001797218|Poste|-29.755311000|-57.080065100|EQP0000000002388242|I01G01685|LOC0000000001797210|Poste|PT1248|-29.756453400|-57.080034500|EQP0000000002388929|I01G01684|LOC0000000001797260|Poste|PT1273|-29.755029500|-57.080070500|RS|URUGUAIANA|RSUGN_G1I01
