UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000067760785;I02G0421;CTO SPLITTER 1 8;ESGRI_G1I02;AVENIDA BRASIL GUARAPARI SAO GABRIEL 29213430 ES SN;GUARAPARI;-20.642982600;-40.523260900;G0;ESGRI-I02SP53;ESGRI-I02SP53-SS5
EQP0000000042934893;I02G01080;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA HONORIO GOTTARDO GUARAPARI LAGOA FUNDA 29214065 ES 34;GUARAPARI;-20.651731100;-40.502235300;G0;ESGRI-I02SP135;ESGRI-I02SP135-SS8
EQP0000000042933658;I04G01362;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA ALCIDES RANGEL GUARAPARI AEROPORTO 29216745 ES 101;GUARAPARI;-20.641563800;-40.485743200;G0;ESGRI-I04SP171;ESGRI-I04SP171-SS2
EQP0000000042935336;I01G01009;CTO - PAD TELEFONICA;ESGRI_G1I01;RUA VENEZA GUARAPARI PRAIA DO MORRO 29216310 ES 132;GUARAPARI;-20.648176700;-40.485668600;G0;ESGRI-I01SP127;ESGRI-I01SP127-SS1
EQP0000000042938642;I05G0651;CTO - PAD TELEFONICA;ESGRI_G1I05;AVENIDA COLORADO GUARAPARI SANTA MONICA 29221040 ES 449;GUARAPARI;-20.621442000;-40.453274800;G0;ESGRI-I05SP82;ESGRI-I05SP82-SS3
EQP0000000042935087;I02G0861;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA T GUARAPARI ADALBERTO SIMAO NADER 29214380 ES 68;GUARAPARI;-20.647667000;-40.500297800;G0;ESGRI-I02SP108;ESGRI-I02SP108-SS5
EQP0000000125289020;I01GP290;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESGRI_G1I01;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 815;GUARAPARI;-20.657820400;-40.493532200;GP;ESGRI-I01SP37;ESGRI-I01SP37-SS2
EQP0000000042937169;I05G0286;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA SEM NOME 314 GUARAPARI   29000000 ES 18;GUARAPARI;-20.620115500;-40.472090600;G0;ESGRI-I05SP36;ESGRI-I05SP36-SS6
EQP0000000042933393;I01GP419;TO;ESGRI_G1I01;AVENIDA OCEANICA GUARAPARI PRAIA DO MORRO 29216080 ES 1871;GUARAPARI;-20.656719200;-40.492608200;GP;ESGRI-I01SP53;ESGRI-I01SP53-SS3
EQP0000000042935060;I02G01096;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA A GUARAPARI ADALBERTO SIMAO NADER 29214190 ES 28;GUARAPARI;-20.650113500;-40.499557800;G0;ESGRI-I02SP137;ESGRI-I02SP137-SS8
