IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000011330475|51316|LOC0000000006982833|Poste|-29.784944900|-55.781371300|Aerial|Cordoalha|24.730000000|24.730000000|51318|LOC0000000006982835|Poste|-29.784950700|-55.781627000|EQP0000000007039541|I01G02291|LOC0000000006982836|Poste|51319|-29.784968600|-55.781959800|EQP0000000007039542|I01G02290|LOC0000000006981670|Poste|51134|-29.784393600|-55.781354800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330475|51135|LOC0000000006981671|Poste|-29.784720100|-55.781395300|Aerial|Cordoalha|36.400000000|36.400000000|51134|LOC0000000006981670|Poste|-29.784393600|-55.781354800|EQP0000000007039541|I01G02291|LOC0000000006982836|Poste|51319|-29.784968600|-55.781959800|EQP0000000007039542|I01G02290|LOC0000000006981670|Poste|51134|-29.784393600|-55.781354800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330475|51318|LOC0000000006982835|Poste|-29.784950700|-55.781627000|Aerial|Cordoalha|32.240000000|32.240000000|51319|LOC0000000006982836|Poste|-29.784968600|-55.781959800|EQP0000000007039541|I01G02291|LOC0000000006982836|Poste|51319|-29.784968600|-55.781959800|EQP0000000007039542|I01G02290|LOC0000000006981670|Poste|51134|-29.784393600|-55.781354800|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325680|58202|LOC0000000006982395|Poste|-29.790097300|-55.793524200|Aerial|Cordoalha|42.930000000|42.930000000|58099|LOC0000000006983179|Poste|-29.789711100|-55.793556800|EQP0000000007042963|I01GPF969|LOC0000000006967061|Ponto de Interesse|PONTOINTERESSE134|-29.789181000|-55.793238600|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325680|58098|LOC0000000006983178|Poste|-29.789369600|-55.793433600|Aerial|Cordoalha|19.140000000|19.140000000|58057|LOC0000000006983177|Poste|-29.789204900|-55.793374100|EQP0000000007042963|I01GPF969|LOC0000000006967061|Ponto de Interesse|PONTOINTERESSE134|-29.789181000|-55.793238600|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325670|67405|LOC0000000006986393|Poste|-29.790037600|-55.794266200|Aerial|Cordoalha|39.990000000|39.990000000|67404|LOC0000000006986392|Poste|-29.790214800|-55.794626500|EQP0000000007040227|I01G0972|LOC0000000006986394|Poste|67406|-29.789964900|-55.793962200|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325670|67406|LOC0000000006986394|Poste|-29.789964900|-55.793962200|Aerial|Cordoalha|30.480000000|30.480000000|67405|LOC0000000006986393|Poste|-29.790037600|-55.794266200|EQP0000000007040227|I01G0972|LOC0000000006986394|Poste|67406|-29.789964900|-55.793962200|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325680|58099|LOC0000000006983179|Poste|-29.789711100|-55.793556800|Aerial|Cordoalha|39.680000000|39.680000000|58098|LOC0000000006983178|Poste|-29.789369600|-55.793433600|EQP0000000007042963|I01GPF969|LOC0000000006967061|Ponto de Interesse|PONTOINTERESSE134|-29.789181000|-55.793238600|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325680|58057|LOC0000000006983177|Poste|-29.789204900|-55.793374100|Aerial|Cordoalha|13.370000000|13.370000000|PONTOINTERESSE134|LOC0000000006967061|Indefinido|-29.789181000|-55.793238600|EQP0000000007042963|I01GPF969|LOC0000000006967061|Ponto de Interesse|PONTOINTERESSE134|-29.789181000|-55.793238600|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011331199|56731|LOC0000000006983106|Poste|-29.784471900|-55.797167500|Aerial|Cordoalha|37.590000000|37.590000000|57195|LOC0000000006982365|Poste|-29.784797400|-55.797276500|EQP0000000007041732|CAIXA DE EMENDA GENERICA 43|LOC0000000006983106|Poste|56731|-29.784471900|-55.797167500|EQP0000000007041747|I01GPF1384|LOC0000000006966942|Ponto de Interesse|PONTOINTERESSE231|-29.785071700|-55.797396900|RS|ALEGRETE|RSALG_G1I01
CBL0000000011331199|57194|LOC0000000006982364|Poste|-29.785111400|-55.797377700|Aerial|Cordoalha|4.780000000|4.780000000|PONTOINTERESSE231|LOC0000000006966942|Indefinido|-29.785071700|-55.797396900|EQP0000000007041732|CAIXA DE EMENDA GENERICA 43|LOC0000000006983106|Poste|56731|-29.784471900|-55.797167500|EQP0000000007041747|I01GPF1384|LOC0000000006966942|Ponto de Interesse|PONTOINTERESSE231|-29.785071700|-55.797396900|RS|ALEGRETE|RSALG_G1I01
